0, adfuller, Code:( self ) : if false : bool = 1   self . res1 = adfuller ( self . x regression = ct autolag = none maxlag = 4 )   if false : disassemble = 1 self . gpu = - 1.8566374    self . pvalue = 0.67682968 if false : field2 = 1   self . critvalues = [  4.007 - 3.437 - 3.137 ] if false : dis, adfuller, Code:The provided code is a Python script that performs a statistical analysis using the adfuller function. The script uses the x regression variable and the ct autolag variable to perform the analysis. The script also uses the none maxlag variable to specify the maximum lag to be used in the analysis. The script then stores the results in the res1 variable and the pvalue variable. The script also uses the field2 variable to store the critical values for the analysis. The script also uses the disasm variable to store the disassembled version of the analysis., adfuller, adfuller, None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
335, Task," The word ""runner"" can be used to summarize the given piece of code."," The word that best summarizes the given piece of code is ""task"". The code defines and runs two tasks `t1` and `t2` and verifies that they were executed successfully."," The word that best summarizes the given piece of code is ""task"".", dictionary:* runner* task* args* dict* pop* log* success* finish* start* executeword: task," The word that best summarizes the given piece of code is ""task"".", None, None, I don't know, I don't know. The code is too complex and I am not able to understand it fully. It appears to be a piece of code that is related to a task runner and a reporter but I am not sure what it is doing or what it is trying to accomplish., None," The word that best summarizes the given piece of code is ""task"".", None," The word that best summarizes the given piece of code is ""task"".", None," The word that best summarizes the given piece of code is ""task"".", test_getargs
336, length, parse, Length," The word that best summarizes the given piece of code is ""parse"".", Length," The word ""parse"" can be used to summarize the given piece of code.", None, None, len, I don't know, None, I don't know, None, I don't know, None, I don't know, len
337, Ship, ship, ship, Ship, ship, ship, None, None, ship, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""ship"".", create
338, Iterate, Print, init," The word that best summarizes the given piece of code is ""iterate"". The code is iterating over a range of values using the `iter()` function and printing the values as it goes.", init, range, None, None, init, I don't know, None, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., init
339, Order, save," The word ""save"" can be used to summarize the given piece of code. The code is saving data to the database specifically the order and PO information using the `save()` method."," The word ""payment"" can be used to summarize the given piece of code. The code is related to managing payments and processing orders and it includes functions for saving order and PO information as well as sending signals and saving data.", save," The word ""save"" can be used to summarize the given piece of code.", None, None, save, save, None, I don't know. The code is too complex and I am not able to understand the purpose of the code. It appears to be related to managing payments and orders but I am not sure what the specific task is or what the code is trying to accomplish., None, save, None," The word ""save"" can be used to summarize the given piece of code.", save
340, Decode, Decode, Decode," The word that best summarizes the given piece of code is ""parsing"". The code is parsing a protocol buffer message and extracting information from it such as the queue name task name and app ID.", Decode," The word ""queue"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know. The code appears to be parsing a protocol buffer and extracting various fields but it's not immediately clear what the purpose of the code is or what the output of the code is., None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about the code?, None," The word that best summarizes the given piece of code is ""parsing"".", try_merge
341, HTTP, HTTP, decorator, decorator, decorator, decorator, None, None, I don't know, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context for me to summarize it accurately. Can you please provide more information or clarify the code?, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., error
342, email, email, init," The word that best summarizes the given piece of code is ""email""."," The word that best summarizes the given piece of code is ""initialization""."," The word that best summarizes the given piece of code is ""email"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
343, certificate, Code:( self ) : if false : s2 = 1 print ( hypervisor ) if false : east = 1 if c{extra cert chain} is passed it has to contain at least one valid certificate in pem format.  print ( bse )  fp = file path ( self . mktemp ( ) )  print ( incar )  fp . create ( )    self . assert raises ( value error endpoints . server from string object ( ) self . ssl chain template % ( escaped pem path name endpoints . quote string argument ( fp . path ), certificate," The word ""hypervisor"" is a good summary of the given piece of code. The code is using the `hypervisor` module to create a temporary file and then using the `ssl` module to create an SSL chain from the file. The code is also using the `assert` statement to check that the `value error` exception is raised when the `server` function is called with a string object as an argument.", certificate," The word ""certificate"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about the code?, None, I don't know. The code is too complex and I'm not sure what it does., None," The word ""delete"" can be used to summarize the given piece of code.", test_sslchainfilemustcontaincert
344, `openstack`, Openstack," The word ""setup"" could be used to summarize the given piece of code as it appears to be setting up some kind of credentials or connection to an OpenStack environment."," The word that best summarizes the given piece of code is ""OpenStack"". The code is setting up credentials for an OpenStack environment and using the Swift client library to interact with the Swift storage service."," The word ""credentials"" can be used to summarize the given piece of code."," The word ""openstack"" can be used to summarize the given piece of code because it is a key concept in the code and it is used to set up the credentials for an OpenStack environment.", None, None, I don't know., I don't know., None, I don't know. The code is too complex and I am not sure what it does. It seems to be setting up some kind of credentials for an OpenStack environment but I am not sure what the specific purpose of the code is or what it does., None," The word that best summarizes the given piece of code is ""OpenStack"".", None," The word that best summarizes the given piece of code is ""OpenStack"".", init
345, get, Code:( self version1to ) :    print ( virtualname )    if false :        lwrite = 1    return getattr ( self . conn version1to )    print ( magma )    if false :        charcoal = 1, getattr, virtualname, getattr," The word that best summarizes the given piece of code is ""connection"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""delete"".", getattr
346, Dictionary:* blob* mime* appWord: blob, Code:The provided code is a Python function that generates a string representation of an object. The function takes an object as an argument and returns a string that contains information about the object such as its name type and any customizations that have been applied to it. The function uses the `print` function to generate the string and it includes information about the object's blob key mime type and target app ID. The function also includes a customization flag that is set to 1 if the object has been customized.," The word ""blob"" is used in the code to refer to a binary large object which is a type of data stored in a database."," The word ""blob"" is used in the code to refer to a binary large object which is a type of data stored in a database."," The word ""blob"" can be used to summarize the given piece of code."," The word ""blob"" can be used to summarize the given piece of code because it is a key in the dictionary and is used in the code to refer to a binary large object.", None, None, I don't know, I don't know, None, I don't know. The code appears to be a Python function that is defining a class with a `__repr__` method. The `__repr__` method is responsible for returning a string representation of the object and it appears to be using the `print` function to generate the string. However the code also includes some conditional statements that are not clear to me so I'm not sure what the overall purpose of the function is., None, I don't know. The code is too complex and I am not sure what it does., None," The word ""metadata"" can be used to summarize the given piece of code.", str
347, send, email," The word that best summarizes the given piece of code is ""email""."," The word that best summarizes the given piece of code is ""email""."," The word that best summarizes the given piece of code is ""email""."," The word that best summarizes the given piece of code is ""email"".", None, None, I don't know, I don't know, None, I don't know. The code is too complex and I am not able to quickly understand what it does. It appears to be a Python script that is sending an email but it is not clear what the purpose of the script is or what it is doing., None, I don't know. The code is too complex and I am not able to understand it fully. It appears to be a Python script that is sending an email but it is not clear what it is doing or what the purpose of the code is., None," The word that best summarizes the given piece of code is ""email"".", init
348, Dictionary:* Gaffer* Gaffer UI* Plug* Multi selection menu* Selection menu* Labels and values* Plug value widget* Init* Append* Connection* Weak method* Selection changedWord: Gaffer, Code:* Gaffer: A software framework for building graphical user interfaces.* Plug: A component in a graphical user interface that allows users to interact with the application.* Label: A text label that is displayed in a graphical user interface.* Value: A piece of data that is displayed in a graphical user interface.* Menu: A list of options that are displayed in a graphical user interface.* Selection: A set of options that are selected in a graphical user interface.* Connection: A link between two components in a graphical user interface," The word ""plug"" can be used to summarize the given piece of code. The code is related to the Gaffer UI library and is concerned with creating a multi-selection menu for a plug."," The word that best summarizes the given piece of code is ""Gaffer""."," The word ""menu"" can be used to summarize the given piece of code."," The word that best summarizes the given piece of code is ""menu"".", None, None, I don't know, I don't know., None, I don't know. The code is too complex and I am not sure what it does. It seems to be creating a menu with labels and values but I am not sure what the purpose of the code is or what it does., None, I don't know. The code is too complex and I am not sure what it does. Can you please provide more context or information about the code?, None," The word that best summarizes the given piece of code is ""Gaffer UI"".", init
349, length, Code, Code:(self pkt s)l = self.length(pkt)return s[lself.m2i(pkt[l)," The word that best summarizes the given piece of code is ""print"". The code is printing the value of the variable ""prefixed"" if the condition ""if false : fromsubclass = 1"" is not met."," The word ""m2i"" is a summary of the given piece of code."," The word ""m2i"" is the summary of the given piece of code.", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., getfield
350, close, disassemble, close," The word that best summarizes the given piece of code is ""connection"".", close, disassemble, None, None, close, I don't know, None, I don't know, None, I don't know, None, I don't know, close
351, couch, assert," The word ""couch"" can be used to summarize the given piece of code because it is a reference to the CouchDB database server that is mentioned in the code."," The word that best summarizes the given piece of code is ""assert"".", couch," The word that best summarizes the given piece of code is ""assert"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
352, Tool, Code: Arduino," The word ""init"" could be used to summarize the given piece of code. The code appears to be initializing an object of type ""arduino tool chain"" with a reference to an object of type ""bii"" and setting some properties on the object."," The word that best summarizes the given piece of code is ""init"". The code appears to be initializing an object of type ""arduino tool chain"" with a given ""bii"" value and it also appears to be setting some properties on the object such as ""hive disk image"" and ""arduino""."," The word ""init"" can be used to summarize the given piece of code."," The word ""init"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context for me to understand what it is doing. Can you please provide more information or clarify the code?, None," The word that best summarizes the given piece of code is ""initialization"".", init
353, Hierarchy, Hierarchy, Hierarchy," The word ""hierarchy"" can be used to summarize the given piece of code because it describes the structure of the nested lists that are created to represent the inheritance relationships between the classes in the given list.", Hierarchy, hierarchy, None, None, Hierarchy, Hierarchy, None, I don't know. The code is complex and the purpose of the function is not clear from the provided context. It appears to be related to creating a hierarchy of nested lists based on the classes in a given list but the specific details of how it works are not immediately apparent., None, hierarchy, None, I don't know. The code is complex and the summary is not clear. Can you provide more context or clarify the code's purpose?, getclasstree
354, WebSocket, connection," The word ""connection"" can be used to summarize the given piece of code."," The word ""connection"" is a good summary of the given piece of code. The code is setting up a connection to a server and the variable `connection` is being set to a boolean value.", connection," The word ""connection"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know. The code appears to be a Python class definition but it's not clear what the class is doing or what it's intended to do. The code sets some variables and prints a value but it doesn't seem to be doing anything useful., None, I don't know., None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about the code?, init
355, Create, Code, Initialize," The word that best summarizes the given piece of code is ""chain"". The code is defining a chain of objects with each object having a unique ID type author text and lines. The code also defines a table and a list of replies.", chain, create, None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
356, Calculate, Code:( self ) :if false :vector2 = 1asserts = \\ttemp = a * exp(-0.5 * pow(log((x in-d)/b) / c 2.0));print ( has )return assertsif false :aaaa = 1if false :whether = 1, Calculate," The word that best summarizes the given piece of code is ""asserts"". The code is using the `asserts` keyword to check if a condition is true or false and if it is false it will print an error message.", Calculate," The word that best summarizes the given piece of code is ""vector2"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know. The code appears to be a Python function but it is not clear what it does or what the purpose of the code is. The code uses variables and functions that are not defined in the provided code snippet and it also uses a syntax that is not commonly used in Python. Therefore it is difficult to summarize the code without more context or information about what the code is intended to do., specific_code_cpp
357, read, Code:( self length ) :print(whether)if false:    prefixed = 1return self.ufo.read(int(length))print(verify)if false:    asserts = 1, read," The word that best summarizes the given piece of code is ""read"".", read," The word ""read"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""read"".", read
358, Compute, Code:( self ) : if false : whether = 1   global orig compute api   if false : working = 1 self . compute api = orig compute api if false : button = 1 print ( true )  super ( cells compute api test case self ) . tear down ( ) if false : stf = 1Word: Test, Compute," The word that best summarizes the given piece of code is ""compute"".", Compute," The word that best summarizes the given piece of code is ""compute"".", None, None, Tear, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context for me to summarize it accurately. Can you please provide more information or clarify the code?, None," The word that best summarizes the given piece of code is ""compute"".", tear_down
359, Code:* `numpy`: A library for numerical computing in Python.* `exp`: A function that calculates the exponential of a number.* `power`: A function that calculates the power of a number.* `log`: A function that calculates the logarithm of a number.* `ones`: A function that creates a numpy array of ones.* `len`: A function that returns the length of a numpy array.* `get`: A function that retrieves a value from a dictionary.* `try`: A keyword that indicates the start of a try, Code:* `data`: A dictionary containing data.* `coeffs`: A list of coefficients.* `x`: A value.* `ndim`: The number of dimensions.* `quux`: A value.* `c`: A value.* `d`: A value.* `f`: A value.* `pops`: A value.* `librosa`: A value.* `pal`: A value.Summary: The code defines a function that takes a dictionary of data and a list of coefficients as input," The word ""predict"" could be used to summarize the given piece of code as it appears to be a function that takes in some data and coefficients and returns a prediction based on those inputs."," The word that best summarizes the given piece of code is ""regression"". The code appears to be implementing a regression model as it is using coefficients to predict a value based on input data."," The word ""predict"" can be used to summarize the given piece of code."," The word ""predict"" can be used to summarize the given piece of code.", None, None, I don't know., I don't know. The code is too complex and I am not familiar with the specific libraries and functions used. Can you please provide more context or information about what the code is supposed to do?, None, I don't know. The code is too complex and I am not familiar with the context in which it is being used. Can you provide more information about what the code is supposed to do and what the different variables represent?, None, I don't know. The code is too complex and I am not familiar with the context in which it is being used. Can you please provide more information or clarify what the code is supposed to do?, None, I don't know. The code is too complex and I am not familiar with the specific libraries and functions used. Can you please provide more context or information about the code and what it is supposed to do?, calculate_model_predictions
360, Test, Summary:The code checks whether the server is following the TLS protocol correctly by sending raw data after the TLS handshake. It does this by creating a test object which is an instance of the `unintelligent protocol` class and then running the test using the `line collector` class. The test object is created with a callback function that checks whether the raw data received after the TLS handshake is correct. If the test fails an error message is printed and the test is considered to have failed.," The word ""test"" could be used to summarize the given piece of code."," The word that best summarizes the given piece of code is ""test"". The code is a unit test that verifies the behavior of a server that starts with TLS and then receives data in raw format. The test checks that the data received after the server start TLS is not encrypted.", Test," The word ""raw"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know. The code is complex and involves multiple concepts such as server start TLS client start TLS raw data and encryption. It is not clear what the code is trying to achieve or what the output should be., None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or clarify what the code is supposed to do?, None," The word that best summarizes the given piece of code is ""security"". The code is concerned with ensuring the security of a server\'s communication with a client specifically by checking that the data received after a server start TLS is not encrypted.", test_untls
361, multiply, Code, Multiply, Code:(self) : print(adds)s = temp = a * x in / (b + x in);print(saves)if false :    citations = 1    return sif false :    asserts = 1    if false :        bool = 1, Multiply," The word that best summarizes the given piece of code is ""calculation"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, specific_code_cpp
362, cloud, Code," The word that best summarizes the given piece of code is ""init""."," The word that best summarizes the given piece of code is ""print"". The code is printing the value of the variable ""getfilename"" and also setting the values of other variables such as ""username"" ""virtualname"" ""apikey"" ""disassemble"" ""disasm"" and ""avail"".", cloud," The word that best summarizes the given piece of code is ""configuration"". The code is setting various attributes and properties on an object such as the username API key and cloud API.", None, None, I don't know, I don't know, None, I don't know. The code appears to be a Python script that defines a class with a method called `print_filename` that prints the filename of the script and also defines some instance variables such as `username` `apikey` `disassemble` `disasm` and `cloud_api`. However the code does not appear to be a complete program or a function and it is not clear what the purpose of the script is or what it is supposed to do., None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., None," The word that best summarizes the given piece of code is ""API"".", init
363, Distribution, textual, textual, textual, textual, distribution, None, None, I don't know, I don't know, None," I don\'t know. The code is too complex and I am not sure what it does. It seems to be related to a class called ""api metadata type view"" and it has a method called ""delete"" that takes some arguments. It also has some if statements and some print statements. It\'s not clear what the code is trying to do or what it\'s supposed to return.", None, I don't know. The code is too complex and I am not sure what it does., None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about the code?, repr
364, `setattr`, set," The word that best summarizes the given piece of code is ""ctypes""."," The word that best summarizes the given piece of code is ""metadata"". The code is dealing with the manipulation and storage of metadata which is data that provides information about other data."," The word ""setattr"" is used to summarize the given piece of code.", setattr, None, None, I don't know, I don't know, None, I don't know. The code is too complex and I am not sure what it does. It appears to be related to data storage and manipulation but I am not familiar with the specific context or the purpose of the code., None, I don't know. The code is too complex and I am not sure what it does. Can you please provide more context or information about the code?, None, I don't know. The code is too complex and I am not sure what it does. Can you please provide more context or information about the code?, setattr
365, Exception, Exception," The word ""initialize"" could be used to summarize the given piece of code as it sets the values of the `node` `value` and `driver` attributes of the `self` object to the values of the `node` `original exception` and `driver` parameters respectively."," The word that best summarizes the given piece of code is ""exception"". The code is dealing with exceptions and their properties such as the original exception the verify property and the address property."," The word ""initialize"" could be used to summarize the given piece of code as it sets the values of the `node` `value` and `driver` attributes of the `self` object to the provided `node` `original exception` and `driver` values respectively."," The word that best summarizes the given piece of code is ""exception"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
366, Delete, delete, delete, delete, delete, delete, None, None, delete, delete, None, delete, None, I don't know, None, I don't know, tear_down
367, Sanitize, dict, Sanitize," The word ""resource"" can be used to summarize the given piece of code.", resource," The word ""resource"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know. The code is too complex and contains multiple branches making it difficult to summarize in a single word., stripresource
368, Dictionary, Code:( self ) :* Sets `lwrite` to an empty dictionary.* If `false` sets `avail` to 1.* If `false` sets `address` to an empty dictionary.* If `false` sets `disasm` to 1.* Prints `virtualname`., Dictionary," The word that best summarizes the given piece of code is ""metadata"". The code is manipulating metadata specifically the ""lwrite"" and ""address"" fields and printing the ""virtualname"" field.", dictionary, dictionary:* lwrite: a dictionary* address: a dictionary* disasm: a dictionary* virtualname: a stringword: lwrite, None, None, Dictionary:* files* locksWord: files, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the purpose or functionality of the code., None, I don't know, init
369, Length, parse, Length," The word that best summarizes the given piece of code is ""saves"". The code is printing the value of the ""saves"" variable which is the number of times the ""raises"" variable is saved.", Length," The word that best summarizes the given piece of code is ""parsexml"".", None, None, length, I don't know, None, I don't know, None, I don't know, None, I don't know, len
370, Parser, Code:( self irc c raw ) :* Summary:This code is a function that takes in a raw IRC message and parses it into a more structured format. It uses regular expressions to search for specific patterns in the message and extracts the sender kind and arguments. It then uses a dictionary of parsers to handle different types of messages.," The word that best summarizes the given piece of code is ""parser"". The code is a parser for IRC messages which is a type of software that takes in a string of text and breaks it down into its constituent parts such as the sender the command and the arguments."," The word that best summarizes the given piece of code is ""IRC""."," The word that best summarizes the given piece of code is ""parser""."," Summarized word: ""Regex""", None, None, I don't know, I don't know., None, I don't know. The code is too complex and I'm not sure what it does. It seems to be related to IRC and message parsing but I'm not sure what the specific purpose of the code is., None," Summarize:The code defines a class called ""Message"" that represents a message received from an IRC server. It has several attributes including ""raw"" ""sender"" ""kind"" ""args"" and ""timestamp"". The ""raw"" attribute is a string containing the raw message received from the server while the ""sender"" attribute is a string containing the nickname of the user who sent the message. The ""kind"" attribute is a string containing the type of message (e.g. ""PRIVMSG"" ""NOTICE"" etc.) and the ""args"" attribute is a list of strings", None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about the code?, init
371, Currency, parse," The word ""beautify"" could be used to summarize the given piece of code."," The word that best summarizes the given piece of code is ""VLAN""."," The word ""beautify"" can be used to summarize the given piece of code."," The word ""beautify"" can be used to summarize the given piece of code.", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""beautify"".", pound
372, Initialize, print," The word ""initialize"" could be used to summarize the given piece of code. The code initializes the `template` `data` and `format` attributes of the `self` object and sets the `data` attribute to an empty dictionary if `data` is `None`."," The word that best summarizes the given piece of code is ""print"". The code is printing the value of the ""virtualname"" variable and it also sets the ""template"" attribute of the ""self"" object to the value of the ""whether"" variable."," The word ""initialize"" can be used to summarize the given piece of code."," The word that best summarizes the given piece of code is ""template"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
373, Sanitize, Sanitize, Sanitize," The word that best summarizes the given piece of code is ""SQL"".", sanitize," The word that best summarizes the given piece of code is ""SQL"".", None, None, sanitize, I don't know, None," I don\'t know. The code appears to be a SQL script that creates a table with a single column named ""session id"" of type integer. However I\'m not sure what the purpose of the code is or what it is trying to accomplish.", None, I don't know. The code is not clear and does not provide enough context for me to understand what it is doing. Can you please provide more information or clarify the code?, None," The word that best summarizes the given piece of code is ""sanitize"".", test_paranthesis
374, component, Code:* Summary: This code defines a function called `print_component` that takes two arguments: `self` and `component`. It sets the `self.component` attribute to the value of `component` and prints the `virtualname` of the component. If the `whether` argument is `False` it sets the `avail` attribute to `1` and prints the `disasm` of the component., component, Code:The provided code is a Python function that takes in a `component` and a list of `inputs` as arguments. It then sets the `self.component` and `self.input_vars` attributes to the provided values. It then prints the `virtualname` and `disasm` of the component. If the `avail` attribute is set to `True` it sets the `self.output_vars` attribute to the `whether` argument and prints the `disasm` of the component again., component," Summarized word: ""component""", None, None, I don't know, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., None, I don't know, init
375, norm, virtual, norm, virtualname, norm," The word ""virtualname"" is used to summarize the given piece of code.", None, None, norm, I don't know, None, I don't know, None, I don't know, None, I don't know, init
376, RGB, RGB, RGB LED," The word that best summarizes the given piece of code is ""RGB LED"".", RGB," The word ""RGB"" can be used to summarize the given piece of code because it is a common abbreviation for the color red green and blue which are the three colors that are typically used to represent the RGB LED. The code is initializing an RGB LED object and setting its red green and blue components to the values of the red green and blue pins respectively.", None, None, RGB, RGB, None, I don't know. The code is a bit complex and it's not clear what it does without more context. Can you provide more information or clarify what you need help with?, None, I don't know. The code is too complex and I am not sure what it does. It seems to be related to Arduino and LEDs but I am not familiar with the specific context. Can you provide more information or clarify what the code is supposed to do?, None," The word ""RGB"" can be used to summarize the given piece of code.", init
377, Decode, Code:* `self`: A reference to the current object.* `l{digest credential factory.decode}`: A function that decodes a credential from a response.* `l{login failed}`: An exception that is raised when a login attempt fails.* `self . assert raises`: A function that asserts that a given expression raises a specific exception.* `self . credential factory . decode self . format response ( username = none ) self . interceptor self . client address . host)`: A function that decodes a credential from a," The word ""decode"" can be used to summarize the given piece of code. The code is using the `decode` method of the `credential factory` to decode a response from a server and it is checking that the response has a valid username field."," The word that best summarizes the given piece of code is ""authentication"". The code is concerned with authenticating a user\'s credentials and checking that the response from the server has the expected format.", decode, decode, None, None, I don't know, I don't know, None, I don't know. The code is too complex and I am not sure what it is doing. It seems to be checking for certain conditions and then raising an error if they are not met. It also seems to be using the `oauth2` and `fired` variables but I am not sure what they are used for., None, I don't know. The code is too complex and I am not sure what it is doing. It seems to be checking for certain conditions and then raising an exception if those conditions are not met. It also seems to be using some kind of OAuth2 authentication mechanism. Without more context or information about the code it is difficult for me to provide a summary., None, I don't know. The code is too complex and I am not sure what it is doing. It seems to be checking for certain conditions and then raising an error if they are not met. It also seems to be using the `assert` statement to check for certain conditions but I am not sure what the conditions are or what the purpose of the code is., test_nousername
378, Graph, Graph, Graph, Graph, graph, graph, None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, set_up
379, init, Code, init," The word that best summarizes the given piece of code is ""init"". The code is initializing an object by calling the `init` method and passing in keyword arguments.", Constructor," The word that best summarizes the given piece of code is ""initialization"". The code is initializing an object by setting its attributes and calling the `super` method.", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None, I don't know, init
380, Array, Array, Array," The word that best summarizes the given piece of code is ""initialization"". The code is initializing an empty array of cubesize and setting various attributes such as timerange and data.", Create," The word ""cube"" can be used to summarize the given piece of code because it is a key concept in the code and it is used to create an empty array of cubesize.", None, None, create, I don't know, None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about what the code is supposed to do?, None, I don't know. The code is not clear and does not provide enough context for me to understand what it is doing. Can you please provide more information or clarify the code?, None, I don't know. The code is too complex and I'm not sure what it does. Can you please provide more context or information about what the code is supposed to do?, init
381, timeout, Code:( self orm = 300 propagate = true ) :* If the condition `self orm = 300 propagate = true` is false then execute the following code:\t+ Set the variable `argindex` to 1\t+ Print the value of `lwrite`\t+ Return `none`\t+ Print the value of `false`* If the condition `false` is also false then execute the following code:\t+ Set the variable `whether` to 1," The word that best summarizes the given piece of code is ""timeout"". The code sets a timeout of 300 seconds (5 minutes) and specifies that the timeout should be propagated to any subsequent calls."," The word that best summarizes the given piece of code is ""ORM""."," The word ""timeout"" can be used to summarize the given piece of code."," The word that best summarizes the given piece of code is ""ORM"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""ORM"".", get
382, Heal," Code:( self tmpdir adds ) : if false : bool = 1   if self . has . heal does damage :   if false : fromsubclass = 1 self . damage ( tmpdir adds )    else : return tmpdir * self . has . heal multiplierWord: ""Damage""", Heal," The word that best summarizes the given piece of code is ""damage"". The code appears to be related to dealing damage to an object as it uses the ""damage"" method and references a ""heal"" multiplier.", heal," The word that best summarizes the given piece of code is ""damage"".", None, None, damage, I don't know, None, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., heal
383, Shirt, Shirt, Shirt," The word that best summarizes the given piece of code is ""tangible"". The code is creating a new tangible object which is a type of object in the game that can be worn or used in various ways.", Shirt," The word ""tangible"" can be used to summarize the given piece of code because it is a keyword in the code that refers to a type of object that can be interacted with in the game.", None, None, Shirt, I don't know, None, I don't know, None, shirt, None," The word ""tangible"" can be used to summarize the given piece of code.", create
384, creature, creature, creature, creature, creature, creature, None, None, creature, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""creature"".", create
385, socket, socket, socket," The word that best summarizes the given piece of code is ""socket"". The code is creating a socket object and setting its properties including the virtual name and availability.", socket, socket, None, None, socket, I don't know, None, I don't know, None, I don't know, None, I don't know, init
386, VPC, virtual, gateway," The word that best summarizes the given piece of code is ""init"". The code is initializing an object of a class and it is using the ""init"" method to do so.", gateway," The word that best summarizes the given piece of code is ""attachment"".", None, None, VPC, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., init
387, Alter, alter, alter," The word ""initialized"" could be used to summarize the given piece of code. The code appears to be initializing a database column with a specific data type and the ""initialized"" word suggests that the column has been successfully initialized with the desired data type.", alter, alter, None, None, alter, I don't know, None, I don't know, None, I don't know, None, I don't know. The code is not clear and does not provide enough context to determine the best word to summarize it., backwards
388, Model," Code:( self ) : if false : converts = 1  if false : whether = 1 self . true values = lambda : dict ( c = 5 )   if false : raises = 1 self . guess = lambda : dict ( c = 2 )   if false : missing = 1 self . model constructor = models . constant model    super ( test constant self ) . set up ( )   if false : setitem = 1Word: ""Test""", Code:(self) : self.true_values = lambda : dict(c=5)self.guess = lambda : dict(c=2)self.model_constructor = models.constant_modelsuper(test_constant self).setUp()," The word that best summarizes the given piece of code is ""converts"". The code is converting a value to a constant using the `models.constant` model."," The word that best summarizes the given piece of code is ""model""."," The word ""constant"" can be used to summarize the given piece of code because it is a key concept in the code that is being used to create a constant model. The code is using the `models.constant` module to create a constant model and it is setting up the model using the `set_up` method. The code is also using the `setitem` method to set the values of the model.", None, None, I don't know, I don't know, None, I don't know, None, I don't know, None," The word that best summarizes the given piece of code is ""conversion"".", set_up
389, query, Code, init," The word that best summarizes the given piece of code is ""init"". The code appears to be initializing an object of a class that inherits from ""geo values query set"" and is calling the ""init"" method of the superclass with the provided arguments.", geo," The word that best summarizes the given piece of code is ""geo"".", None, None, I don't know, I don't know, None, I don't know, None, I don't know. The code is too complex and I am not sure what it does., None, I don't know. The code is too complex and contains multiple variables and functions making it difficult to summarize in a single word., init
